date,chamber,avg_leafmass,avg_leafarea,leaves,total_leaf_mass,total_leaf_area,branch_mass,canopy_position,purpose,collector,notes
2013-05-15,C09,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C10,0.2579,31.7533,3,0.7738,95.26,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C10,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C11,0.3555,35.8533,3,1.0666,107.56,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C11,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-05-15,C12,0.3591,34.26,3,1.0773,102.78,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-05-15,C12,NA,NA,3,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C01,0.5322,48.84,3,1.5967,146.52,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C01,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C02,0.3996,40.21,3,1.1989,120.63,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C02,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C03,0.3516,34.41,3,1.0547,103.23,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C03,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C04,0.4203,40.106,3,1.2608,120.318,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C04,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C05,0.4472,30.1867,3,1.3415,90.56,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C05,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C06,0.339,29.9663,3,1.0169,89.899,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C06,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C07,0.7942,64.4933,3,2.3826,193.48,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C07,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C08,0.6703,64.729,3,2.0109,194.187,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C08,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C09,0.4736,44.67,3,1.4207,134.01,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C09,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C10,0.3295,32.5967,3,0.9886,97.79,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C10,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C11,0.4301,32.6467,3,1.2903,97.94,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C11,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-06-17,C12,0.5358,45.3183,3,1.6074,135.955,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-06-17,C12,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C01,0.4652,39.0933,3,1.3955,117.28,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C01,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C02,0.4301,38.7729,3,1.3006,117.77,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C02,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C03,0.3908,34.8933,3,1.1725,104.68,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C03,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C04,0.3776,35.3067,3,1.1329,105.92,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C04,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C05,0.4128,31.0531,3,1.2043,91.27,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C05,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C06,0.4324,37.72,3,1.2973,113.16,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C06,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C07,0.9647,64.96,3,2.8942,194.88,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C07,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C08,0.7324,62.9633,3,2.1971,188.89,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C08,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C09,0.4176,39.6533,3,1.2527,118.96,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C09,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C10,0.3404,31.1975,3,1.0195,93.43,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C10,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C11,0.5937,43.0367,3,1.781,129.11,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C11,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-07-08,C12,0.6226,45.0067,3,1.8679,135.02,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-07-08,C12,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C01,0.3613,30.2833,3,1.084,90.85,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C01,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C02,0.503,44.25,3,1.509,132.75,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C02,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C03,0.4613,42.63,3,1.384,127.89,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C03,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C04,0.591,41.15,3,1.773,123.45,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C04,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C05,0.3427,23.0633,3,1.028,69.19,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C05,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C06,0.4257,34.7967,3,1.277,104.39,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C06,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C07,0.6697,48.8867,3,2.009,146.66,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C07,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C08,0.814,61.7267,3,2.442,185.18,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C08,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C09,0.5757,39.3467,3,1.727,118.04,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C09,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C10,0.326,33.0567,3,0.978,99.17,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C10,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C11,0.3887,34.76,3,1.166,104.28,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C11,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-08-20,C12,0.4563,39.6167,3,1.369,118.85,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-08-20,C12,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-19,C01,0.4014,37.8367,3,1.2041,113.51,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C02,0.4011,41.6433,3,1.2033,124.93,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C03,0.5725,50.06,3,1.7174,150.18,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C04,0.5771,39.6133,3,1.7312,118.84,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C05,0.3378,24.9067,3,1.0135,74.72,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C06,0.3925,36.2933,3,1.1776,108.88,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C07,0.7628,51.47,3,2.2885,154.41,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C08,0.7088,49.4167,3,2.1263,148.25,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C09,0.4075,36.9233,3,1.2225,110.77,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C10,0.4503,36.6453,3,1.3376,109.13,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C11,0.5927,47.4667,3,1.7782,142.4,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-19,C12,0.4992,35.5367,3,1.4977,106.61,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-09-20,C01,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C02,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C03,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C04,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C05,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C06,NA,NA,1,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C07,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C08,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C09,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C10,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C11,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-09-20,C12,NA,NA,2,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C01,0.4425,46.3833,3,1.3275,139.15,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C01,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C02,0.3947,39.8867,3,1.1842,119.66,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C02,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C03,0.4799,44.4233,3,1.4398,133.27,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C03,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C04,0.5387,53.0933,3,1.6161,159.28,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C04,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C05,0.3299,28.33,3,0.9896,84.99,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C05,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C06,0.3673,35.7833,3,1.1019,107.35,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C06,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C07,0.7442,65.3633,3,2.2325,196.09,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C07,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C08,0.4087,39.3633,3,1.226,118.09,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C08,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C09,0.5082,48.73,3,1.5247,146.19,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C09,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C10,0.409,37.1033,3,1.227,111.31,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C10,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C11,0.6359,58.5267,3,1.9078,175.58,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C11,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-15,C12,0.4427,40.5633,3,1.328,121.69,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-10-15,C12,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-10-24,C06,37.7,0.37,1,0.37,37.7,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C06,22.4,0.26,1,0.26,22.4,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C06,25.27,0.23,1,0.23,25.27,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C06,29.59,0.32,1,0.32,29.59,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C07,63.6,0.74,1,0.74,63.6,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C07,42,0.41,1,0.41,42,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C07,64,0.72,1,0.72,64,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C07,59.23,0.63,1,0.63,59.23,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C09,65.7,0.71,1,0.71,65.7,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C09,39.4,0.41,1,0.41,39.4,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C09,32.81,0.32,1,0.32,32.81,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C09,41.41,0.45,1,0.45,41.41,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C12,36.2,0.48,1,0.48,36.2,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C12,46.2,0.46,1,0.46,46.2,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-24,C12,49.72,0.66,1,0.66,49.72,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-24,C12,35.03,0.39,1,0.39,35.03,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C03,45.09,0.46,1,0.46,45.09,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C03,24.27,0.26,1,0.26,24.27,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C03,44.07,0.5,1,0.5,44.07,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C03,38.07,0.43,1,0.43,38.07,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C04,43.63,0.43,1,0.43,43.63,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C04,26.18,0.28,1,0.28,26.18,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C04,55.8,0.61,1,0.61,55.8,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C04,33.8,0.43,1,0.43,33.8,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C05,36.27,0.34,1,0.34,36.27,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C05,28.73,0.44,1,0.44,28.73,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C05,39.03,0.43,1,0.43,39.03,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C05,30.6,0.34,1,0.34,30.6,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C08,41.79,0.37,1,0.37,41.79,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C08,60.92,0.57,1,0.57,60.92,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-25,C08,45.01,0.4,1,0.4,45.01,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-25,C08,78.68,0.85,1,0.85,78.68,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C01,48.88,0.55,1,0.55,48.88,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C01,31.72,0.38,1,0.38,31.72,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C01,34.49,0.36,1,0.36,34.49,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C01,48.43,0.47,1,0.47,48.43,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C02,29.81,0.22,1,0.22,29.81,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C02,30.07,0.29,1,0.29,30.07,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C02,39.24,0.41,1,0.41,39.24,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C02,36.29,0.29,1,0.29,36.29,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C10,36.41,0.4,1,0.4,36.41,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C10,30.23,0.34,1,0.34,30.23,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C10,42.44,0.51,1,0.51,42.44,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C10,35.22,0.32,1,0.32,35.22,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C11,40.86,0.39,1,0.39,40.86,NA,sun,water potential,"campany, courtney",dried/ground
2013-10-26,C11,27.24,0.33,1,0.33,27.24,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C11,29.9,0.47,1,0.47,29.9,NA,shade,water potential,"campany, courtney",dried/ground
2013-10-26,C11,46.54,0.44,1,0.44,46.54,NA,sun,water potential,"campany, courtney",dried/ground
2013-11-13,C01,0.4364,45.3486,3,1.3135,137.47,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C01,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C02,0.2791,36.4,3,0.8373,109.2,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C02,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C03,0.4373,37.0036,3,1.2747,108.26,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C03,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C04,0.3339,34.4067,3,1.0017,103.22,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C04,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C05,0.4055,38.33,3,1.2166,114.99,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C05,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C06,0.367,37.5267,3,1.1011,112.58,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C06,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
2013-11-13,C07,0.8554,57.85,3,2.5662,173.55,NA,upper canopy,"monthly asat, amax and rdark","aspinwall, drake","dried, ground for C, N, and carbs"
2013-11-13,C07,NA,NA,6,NA,NA,NA,upper canopy,leaf water potential,"aspinwall, drake, blackman",
